dtstart,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,summary,transp
"2024-08-09T23:00:00Z","2024-08-10T02:00:00Z","2024-10-22T05:57:54Z","","853d306c-acc5-4f54-932f-bc490a48ccdb","","2024-10-22T05:57:54","Buy tickets for the game: https://www.ticketmaster.com/pittsburgh-steelers-pittsburgh-pennsylvania/event/16006065B91133B9?brand=steelers&artistid=806007&landing=s&wt.mc_id=NFL_TEAM_PIT_SCHED_PG_LINK_PR1&utm_source=NFL.com&utm_medium=client&utm_campaign=NFL_TEAM_PIT&utm_content=SCHED_PG_LINK_PR1&campaign=pit-ti-it-sp-2000578\n--\nWatch the game on NFL NETWORK\n--\nListen live on SNR / WDVE 102.5 FM / WBGG 970 AM or TuneIn: https://www.steelers.com/audio/steelers-nation-radio/\n--\nDownload official Pittsburgh Steelers app:\niOS (https://apps.apple.com/app/pittsburgh-steelers/id393279698)\n\nAndroid (https://play.google.com/store/apps/details?id=com.yinzcam.nfl.steelers)\n\nhttps://www.steelers.com\n","","Acrisure Stadium, Pittsburgh","0","","Houston Texans at Pittsburgh Steelers",""
"2024-08-17T23:00:00Z","2024-08-18T02:00:00Z","2024-10-22T05:57:54Z","","0da8d23b-a93b-400c-8156-f318607c3712","","2024-10-22T05:57:54","Buy tickets for the game: https://www.ticketmaster.com/pittsburgh-steelers-pittsburgh-pennsylvania/event/1600608AA790425C?brand=steelers&artistid=806007&landing=s&wt.mc_id=NFL_TEAM_PIT_SCHED_PG_LINK_PR2&utm_source=NFL.com&utm_medium=client&utm_campaign=NFL_TEAM_PIT&utm_content=SCHED_PG_LINK_PR2&campaign=pit-ti-it-sp-2000579\n--\nWatch the game on NFL NETWORK\n--\nListen live on SNR / WDVE 102.5 FM / WBGG 970 AM or TuneIn: https://www.steelers.com/audio/steelers-nation-radio/\n--\nDownload official Pittsburgh Steelers app:\niOS (https://apps.apple.com/app/pittsburgh-steelers/id393279698)\n\nAndroid (https://play.google.com/store/apps/details?id=com.yinzcam.nfl.steelers)\n\nhttps://www.steelers.com\n","","Acrisure Stadium, Pittsburgh","0","","Buffalo Bills at Pittsburgh Steelers",""
"2024-08-24T17:00:00Z","2024-08-24T20:00:00Z","2024-10-22T05:57:54Z","","f00af2d6-7c1a-4e5c-960a-ab528e1e2c44","","2024-10-22T05:57:54","Buy tickets for the game: https://www.ticketmaster.com/event/08006091C4642B82?wt.mc_id=NFL_TEAM_PIT_SCHED_PG_LINK[%E2%80%A6]m_campaign=NFL_TEAM_PIT&utm_content=SCHED_PG_LINK_AWAY_PR1\n--\nWatch the game on NFL NETWORK\n--\nListen live on SNR / WDVE 102.5 FM / WBGG 970 AM or TuneIn: https://www.steelers.com/audio/steelers-nation-radio/\n--\nDownload official Pittsburgh Steelers app:\niOS (https://apps.apple.com/app/pittsburgh-steelers/id393279698)\n\nAndroid (https://play.google.com/store/apps/details?id=com.yinzcam.nfl.steelers)\n\nhttps://www.steelers.com\n","","Ford Field, Detroit","0","","Pittsburgh Steelers at Detroit Lions",""
"2024-09-08T17:00:00Z","2024-09-08T20:00:00Z","2024-10-22T05:57:54Z","","d557ecc0-6298-41ed-8911-1e3b845c6ceb","","2024-10-22T05:57:54","Buy tickets for the game: https://www.ticketmaster.com/event/0E00608BDFBA7115?wt.mc_id=NFL_TEAM_PIT_SCHED_PG_LINK_AWAY_STEELERS_FALCONS&utm_source=NFL.com&utm_medium=client&utm_campaign=NFL_TEAM_PIT&utm_content=SCHED_PG_LINK_AWAY_STEELERS_FALCONS&campaign=pit-ti-it-sp-2000641\n--\nWatch the game on FOX\n--\nListen live on SNR / WDVE 102.5 FM / WBGG 970 AM or TuneIn: https://www.steelers.com/audio/steelers-nation-radio/\n--\nDownload official Pittsburgh Steelers app:\niOS (https://apps.apple.com/app/pittsburgh-steelers/id393279698)\n\nAndroid (https://play.google.com/store/apps/details?id=com.yinzcam.nfl.steelers)\n\nhttps://www.steelers.com\n","","Mercedes-Benz Stadium, Atlanta","0","","Pittsburgh Steelers at Atlanta Falcons",""
"2024-09-15T20:25:00Z","2024-09-15T23:25:00Z","2024-10-22T05:57:54Z","","1195bdce-6c56-49e3-8a14-a6fd1df09d42","","2024-10-22T05:57:54","Buy tickets for the game: https://www.ticketmaster.com/event/1E006064A2031774?wt.mc_id=NFL_TEAM_PIT_SCHED_PG_LINK_AWAY_STEELERS_BRONCOS&utm_source=NFL.com&utm_medium=client&utm_campaign=NFL_TEAM_PIT&utm_content=SCHED_PG_LINK_AWAY_STEELERS_BRONCOS&campaign=pit-ti-it-sp-2000636\n--\nWatch the game on CBS\n--\nListen live on SNR / WDVE 102.5 FM / WBGG 970 AM or TuneIn: https://www.steelers.com/audio/steelers-nation-radio/\n--\nDownload official Pittsburgh Steelers app:\niOS (https://apps.apple.com/app/pittsburgh-steelers/id393279698)\n\nAndroid (https://play.google.com/store/apps/details?id=com.yinzcam.nfl.steelers)\n\nhttps://www.steelers.com\n","","Empower Field at Mile High, Denver","0","","Pittsburgh Steelers at Denver Broncos",""
"2024-09-22T17:00:00Z","2024-09-22T20:00:00Z","2024-10-22T05:57:54Z","","c9c7c5ee-fb84-4da2-86eb-362a9fd0c25f","","2024-10-22T05:57:54","Buy tickets for the game: https://www.ticketmaster.com/pittsburgh-steelers-vs-los-angeles-chargers-pittsburgh-pennsylvania/event/16006065B92F3429?brand=steelers&artistid=806007&landing=s&wt.mc_id=NFL_TEAM_PIT_SCHED_PG_LINK_STEELERS_CHARGERS&utm_source=NFL.com&utm_medium=client&utm_campaign=NFL_TEAM_PIT&utm_content=SCHED_PG_LINK_STEELERS_CHARGERS&campaign=pit-ti-it-sp-2000575\n--\nWatch the game on CBS\n--\nListen live on SNR / WDVE 102.5 FM / WBGG 970 AM or TuneIn: https://www.steelers.com/audio/steelers-nation-radio/\n--\nDownload official Pittsburgh Steelers app:\niOS (https://apps.apple.com/app/pittsburgh-steelers/id393279698)\n\nAndroid (https://play.google.com/store/apps/details?id=com.yinzcam.nfl.steelers)\n\nhttps://www.steelers.com\n","","Acrisure Stadium, Pittsburgh","0","","Los Angeles Chargers at Pittsburgh Steelers",""
"2024-09-29T17:00:00Z","2024-09-29T20:00:00Z","2024-10-22T05:57:54Z","","6771e4d2-4f25-4134-aca7-42f06e6c199b","","2024-10-22T05:57:54","Buy tickets for the game: https://www.ticketmaster.com/event/05006074C57B455F?wt.mc_id=NFL_TEAM_PIT_SCHED_PG_LINK_AWAY_STEELERS_COLTS&utm_source=NFL.com&utm_medium=client&utm_campaign=NFL_TEAM_PIT&utm_content=SCHED_PG_LINK_AWAY_STEELERS_COLTS&campaign=pit-ti-it-sp-2000640\n--\nWatch the game on CBS\n--\nListen live on SNR / WDVE 102.5 FM / WBGG 970 AM or TuneIn: https://www.steelers.com/audio/steelers-nation-radio/\n--\nDownload official Pittsburgh Steelers app:\niOS (https://apps.apple.com/app/pittsburgh-steelers/id393279698)\n\nAndroid (https://play.google.com/store/apps/details?id=com.yinzcam.nfl.steelers)\n\nhttps://www.steelers.com\n","","Lucas Oil Stadium, Indianapolis","0","","Pittsburgh Steelers at Indianapolis Colts",""
"2024-10-07T00:20:00Z","2024-10-07T03:20:00Z","2024-10-22T05:57:54Z","","30050288-e6a5-4fcd-8b91-5b99dfa6f0f7","","2024-10-22T05:57:54","Buy tickets for the game: https://www.ticketmaster.com/pittsburgh-steelers-vs-dallas-cowboys-pittsburgh-pennsylvania/event/16006065B92533E6?brand=steelers&artistid=806007&wt.mc_id=NFL_TEAM_PIT_SCHED_PG_LINK_STEELERS_COWBOYS&utm_source=NFL.com&utm_medium=client&utm_campaign=NFL_TEAM_PIT&utm_content=SCHED_PG_LINK_STEELERS_COWBOYS&campaign=pit-ti-it-sp-2000603\n--\nWatch the game on NBC / UNIVERSO / TELEXITOS\n--\nListen live on SNR / WDVE 102.5 FM / WBGG 970 AM or TuneIn: https://www.steelers.com/audio/steelers-nation-radio/\n--\nDownload official Pittsburgh Steelers app:\niOS (https://apps.apple.com/app/pittsburgh-steelers/id393279698)\n\nAndroid (https://play.google.com/store/apps/details?id=com.yinzcam.nfl.steelers)\n\nhttps://www.steelers.com\n","","Acrisure Stadium, Pittsburgh","0","","Dallas Cowboys at Pittsburgh Steelers",""
"2024-10-13T20:05:00Z","2024-10-13T23:05:00Z","2024-10-22T05:57:54Z","","b84b3f6d-668d-440e-a49d-a2f6bca72c18","","2024-10-22T05:57:54","Buy tickets for the game: https://www.ticketmaster.com/event/1700608FA1570FAB?wt.mc_id=NFL_TEAM_PIT_SCHED_PG_LINK_AWAY_STEELERS_RAIDERS&utm_source=NFL.com&utm_medium=client&utm_campaign=NFL_TEAM_PIT&utm_content=SCHED_PG_LINK_AWAY_STEELERS_RAIDERS&campaign=pit-ti-it-sp-2000637\n--\nWatch the game on CBS\n--\nListen live on SNR / WDVE 102.5 FM / WBGG 970 AM or TuneIn: https://www.steelers.com/audio/steelers-nation-radio/\n--\nDownload official Pittsburgh Steelers app:\niOS (https://apps.apple.com/app/pittsburgh-steelers/id393279698)\n\nAndroid (https://play.google.com/store/apps/details?id=com.yinzcam.nfl.steelers)\n\nhttps://www.steelers.com\n","","Allegiant Stadium, Paradise","0","","Pittsburgh Steelers at Las Vegas Raiders",""
"2024-10-21T00:20:00Z","2024-10-21T03:20:00Z","2024-10-22T05:57:54Z","","d0f08976-0ea5-4bdd-b3e9-513eae3eade1","","2024-10-22T05:57:54","Buy tickets for the game: https://www.ticketmaster.com/pittsburgh-steelers-vs-new-york-jets-pittsburgh-pennsylvania/event/16006065B9393431?brand=steelers&artistid=806007&wt.mc_id=NFL_TEAM_PIT_SCHED_PG_LINK_STEELERS_JETS&utm_source=NFL.com&utm_medium=client&utm_campaign=NFL_TEAM_PIT&utm_content=SCHED_PG_LINK_STEELERS_JETS&campaign=pit-ti-it-sp-2000607\n--\nWatch the game on NBC / UNIVERSO / TELEXITOS\n--\nListen live on SNR / WDVE 102.5 FM / WBGG 970 AM or TuneIn: https://www.steelers.com/audio/steelers-nation-radio/\n--\nDownload official Pittsburgh Steelers app:\niOS (https://apps.apple.com/app/pittsburgh-steelers/id393279698)\n\nAndroid (https://play.google.com/store/apps/details?id=com.yinzcam.nfl.steelers)\n\nhttps://www.steelers.com\n","","Acrisure Stadium, Pittsburgh","0","","New York Jets at Pittsburgh Steelers",""
"2024-10-29T00:15:00Z","2024-10-29T03:15:00Z","2024-10-22T05:57:54Z","","39785dcb-7ffb-482d-9d78-a8ac0f298534","","2024-10-22T05:57:54","Buy tickets for the game: https://www.ticketmaster.com/pittsburgh-steelers-vs-new-york-giants-pittsburgh-pennsylvania/event/16006065B934342B?brand=steelers&artistid=806007&landing=s&wt.mc_id=NFL_TEAM_PIT_SCHED_PG_LINK_STEELERS_GIANTS&utm_source=NFL.com&utm_medium=client&utm_campaign=NFL_TEAM_PIT&utm_content=SCHED_PG_LINK_STEELERS_GIANTS&campaign=pit-ti-it-sp-2000576\n--\nWatch the game on ESPN / ABC / ESPN2 / ESPN+ / ESPN DEPORTES\n--\nListen live on SNR / WDVE 102.5 FM / WBGG 970 AM or TuneIn: https://www.steelers.com/audio/steelers-nation-radio/\n--\nDownload official Pittsburgh Steelers app:\niOS (https://apps.apple.com/app/pittsburgh-steelers/id393279698)\n\nAndroid (https://play.google.com/store/apps/details?id=com.yinzcam.nfl.steelers)\n\nhttps://www.steelers.com\n","","Acrisure Stadium, Pittsburgh","0","","New York Giants at Pittsburgh Steelers",""
"2024-11-10T18:00:00Z","2024-11-10T21:00:00Z","2024-10-22T05:57:54Z","","d9f215db-c37f-46b9-95ac-13c5886dae99","","2024-10-22T05:57:54","Buy tickets for the game: https://www.ticketmaster.com/event/150060A318B56FFF?wt.mc_id=NFL_TEAM_PIT_SCHED_PG_LINK_AWAY_STEELERS_COMMANDERS&utm_source=NFL.com&utm_medium=client&utm_campaign=NFL_TEAM_PIT&utm_content=SCHED_PG_LINK_AWAY_STEELERS_COMMANDERS&campaign=pit-ti-it-sp-2000639\n--\nWatch the game on CBS\n--\nListen live on SNR / WDVE 102.5 FM / WBGG 970 AM or TuneIn: https://www.steelers.com/audio/steelers-nation-radio/\n--\nDownload official Pittsburgh Steelers app:\niOS (https://apps.apple.com/app/pittsburgh-steelers/id393279698)\n\nAndroid (https://play.google.com/store/apps/details?id=com.yinzcam.nfl.steelers)\n\nhttps://www.steelers.com\n","","Northwest Stadium, Landover","0","","Pittsburgh Steelers at Washington Commanders",""
"2024-11-17T18:00:00Z","2024-11-17T21:00:00Z","2024-10-22T05:57:54Z","","3ce6f7e6-b40d-486b-a021-e0d693678f14","","2024-10-22T05:57:54","Buy tickets for the game: https://www.ticketmaster.com/pittsburgh-steelers-vs-baltimore-ravens-pittsburgh-pennsylvania/event/16006065B91733BE?brand=steelers&artistid=806007&wt.mc_id=NFL_TEAM_PIT_SCHED_PG_LINK_STEELERS_RAVENS&utm_source=NFL.com&utm_medium=client&utm_campaign=NFL_TEAM_PIT&utm_content=SCHED_PG_LINK_STEELERS_RAVENS&campaign=pit-ti-it-sp-2000600\n--\nWatch the game on CBS\n--\nListen live on SNR / WDVE 102.5 FM / WBGG 970 AM or TuneIn: https://www.steelers.com/audio/steelers-nation-radio/\n--\nDownload official Pittsburgh Steelers app:\niOS (https://apps.apple.com/app/pittsburgh-steelers/id393279698)\n\nAndroid (https://play.google.com/store/apps/details?id=com.yinzcam.nfl.steelers)\n\nhttps://www.steelers.com\n","","Acrisure Stadium, Pittsburgh","0","","Baltimore Ravens at Pittsburgh Steelers",""
"2024-11-22T01:15:00Z","2024-11-22T04:15:00Z","2024-10-22T05:57:54Z","","e29829b1-f420-4fe0-a64d-40e562cfe33b","","2024-10-22T05:57:54","Buy tickets for the game: https://www.ticketmaster.com/event/05006090E6C95A17?wt.mc_id=NFL_TEAM_PIT_SCHED_PG_LINK_AWAY_STEELERS_BROWNS&utm_source=NFL.com&utm_medium=client&utm_campaign=NFL_TEAM_PIT&utm_content=SCHED_PG_LINK_AWAY_STEELERS_BROWNS&campaign=pit-ti-it-sp-2000635\n--\nWatch the game on Prime Video\n--\nListen live on SNR / WDVE 102.5 FM / WBGG 970 AM or TuneIn: https://www.steelers.com/audio/steelers-nation-radio/\n--\nDownload official Pittsburgh Steelers app:\niOS (https://apps.apple.com/app/pittsburgh-steelers/id393279698)\n\nAndroid (https://play.google.com/store/apps/details?id=com.yinzcam.nfl.steelers)\n\nhttps://www.steelers.com\n","","Huntington Bank Field, Cleveland","0","","Pittsburgh Steelers at Cleveland Browns",""
"2024-12-01T18:00:00Z","2024-12-01T21:00:00Z","2024-10-22T05:57:54Z","","53b80403-8572-4a82-9c17-048a12c831cc","","2024-10-22T05:57:54","Buy tickets for the game: https://www.ticketmaster.com/event/1600607AC0CC4752?wt.mc_id=NFL_TEAM_PIT_SCHED_PG_LINK_AWAY_STEELERS_BENGALS&utm_source=NFL.com&utm_medium=client&utm_campaign=NFL_TEAM_PIT&utm_content=SCHED_PG_LINK_AWAY_STEELERS_BENGALS&campaign=pit-ti-it-sp-2000634\n--\nWatch the game on CBS\n--\nListen live on SNR / WDVE 102.5 FM / WBGG 970 AM or TuneIn: https://www.steelers.com/audio/steelers-nation-radio/\n--\nDownload official Pittsburgh Steelers app:\niOS (https://apps.apple.com/app/pittsburgh-steelers/id393279698)\n\nAndroid (https://play.google.com/store/apps/details?id=com.yinzcam.nfl.steelers)\n\nhttps://www.steelers.com\n","","Paycor Stadium, Cincinnati","0","","Pittsburgh Steelers at Cincinnati Bengals",""
"2024-12-08T18:00:00Z","2024-12-08T21:00:00Z","2024-10-22T05:57:54Z","","c4292566-48ca-4ca4-b5cc-834c6f746c76","","2024-10-22T05:57:54","Buy tickets for the game: https://www.ticketmaster.com/pittsburgh-steelers-vs-cleveland-browns-pittsburgh-pennsylvania/event/16006065B92133DF?brand=steelers&artistid=806007&landing=s&wt.mc_id=NFL_TEAM_PIT_SCHED_PG_LINK_STEELERS_BROWNS&utm_source=NFL.com&utm_medium=client&utm_campaign=NFL_TEAM_PIT&utm_content=SCHED_PG_LINK_STEELERS_BROWNS&campaign=pit-ti-it-sp-2000572\n--\nWatch the game on CBS\n--\nListen live on SNR / WDVE 102.5 FM / WBGG 970 AM or TuneIn: https://www.steelers.com/audio/steelers-nation-radio/\n--\nDownload official Pittsburgh Steelers app:\niOS (https://apps.apple.com/app/pittsburgh-steelers/id393279698)\n\nAndroid (https://play.google.com/store/apps/details?id=com.yinzcam.nfl.steelers)\n\nhttps://www.steelers.com\n","","Acrisure Stadium, Pittsburgh","0","","Cleveland Browns at Pittsburgh Steelers",""
"2024-12-15T21:25:00Z","2024-12-16T00:25:00Z","2024-10-22T05:57:54Z","","0db6ff70-6924-45d3-a1dc-c4e3f289137d","","2024-10-22T05:57:54","Buy tickets for the game: https://www.ticketmaster.com/event/0200609DD2C9484F?wt.mc_id=NFL_TEAM_PIT_SCHED_PG_LINK_AWAY_STEELERS_EAGLES&utm_source=NFL.com&utm_medium=client&utm_campaign=NFL_TEAM_PIT&utm_content=SCHED_PG_LINK_AWAY_STEELERS_EAGLES&campaign=pit-ti-it-sp-2000638\n--\nWatch the game on FOX\n--\nListen live on SNR / WDVE 102.5 FM / WBGG 970 AM or TuneIn: https://www.steelers.com/audio/steelers-nation-radio/\n--\nDownload official Pittsburgh Steelers app:\niOS (https://apps.apple.com/app/pittsburgh-steelers/id393279698)\n\nAndroid (https://play.google.com/store/apps/details?id=com.yinzcam.nfl.steelers)\n\nhttps://www.steelers.com\n","","Lincoln Financial Field, Philadelphia","0","","Pittsburgh Steelers at Philadelphia Eagles",""
"2024-12-21T21:30:00Z","2024-12-22T00:30:00Z","2024-10-22T05:57:54Z","","785b9d4c-f655-4035-86e5-2bd96365e4cf","","2024-10-22T05:57:54","Buy tickets for the game: https://www.ticketmaster.com/event/150060A39C0034C8?wt.mc_id=NFL_TEAM_PIT_SCHED_PG_LINK_AWAY_STEELERS_RAVENS&utm_source=NFL.com&utm_medium=client&utm_campaign=NFL_TEAM_PIT&utm_content=SCHED_PG_LINK_AWAY_STEELERS_RAVENS&campaign=pit-ti-it-sp-2000633\n--\nWatch the game on FOX / FOX DEPORTES\n--\nListen live on SNR / WDVE 102.5 FM / WBGG 970 AM or TuneIn: https://www.steelers.com/audio/steelers-nation-radio/\n--\nDownload official Pittsburgh Steelers app:\niOS (https://apps.apple.com/app/pittsburgh-steelers/id393279698)\n\nAndroid (https://play.google.com/store/apps/details?id=com.yinzcam.nfl.steelers)\n\nhttps://www.steelers.com\n","","M&T Bank Stadium, Baltimore","0","","Pittsburgh Steelers at Baltimore Ravens",""
"2024-12-25T18:00:00Z","2024-12-25T21:00:00Z","2024-10-22T05:57:54Z","","c375f7d1-bacb-45aa-a0ea-385296797775","","2024-10-22T05:57:54","Buy tickets for the game: https://www.ticketmaster.com/pittsburgh-steelers-vs-kansas-city-chiefs-pittsburgh-pennsylvania/event/16006065B92A3415?brand=steelers&artistid=806007&wt.mc_id=NFL_TEAM_PIT_SCHED_PG_LINK_STEELERS_CHIEFS&utm_source=NFL.com&utm_medium=client&utm_campaign=NFL_TEAM_PIT&utm_content=SCHED_PG_LINK_STEELERS_CHIEFS&campaign=pit-ti-it-sp-2000604\n--\nWatch the game on NETFLIX\n--\nListen live on SNR / WDVE 102.5 FM / WBGG 970 AM or TuneIn: https://www.steelers.com/audio/steelers-nation-radio/\n--\nDownload official Pittsburgh Steelers app:\niOS (https://apps.apple.com/app/pittsburgh-steelers/id393279698)\n\nAndroid (https://play.google.com/store/apps/details?id=com.yinzcam.nfl.steelers)\n\nhttps://www.steelers.com\n","","Acrisure Stadium, Pittsburgh","0","","Kansas City Chiefs at Pittsburgh Steelers",""